Transaction ID,Customer ID,Product Segment,Region Assignment,Sales Channel,Units Demanded,Unit Price USD,Discount Decimal,Tax Rate,Shipping Fee,Order Open Date,Order Close Date,Customer Age,Lead Source,Priority Status,Warehouse Code,Return Requested,Manager Review,Ghost Column A,Ghost Column B
TXN-10000,CUST-1327,Wireless Head-phones,East,RETAIL,1,480.72,0.14,0.08,30.26,2025-11-24,2025-12-03,58,Referral,-,WH-1,NULL,Pending,-,NA
TXN-10001,CUST-1456,Smart Watch v2,south,online,5,1143.32,0.15,0.08,22.06,2025-05-06,2025-05-10,61,Referral,High,WH-5,NULL,Approved,-,NA
TXN-10002,CUST-1107,Wireless Headphones,North,Online,8,891.79,0.05,0.08,26.93,2025-12-13,2025-12-31,25,Referral,High,WH-1,True,Pending,-,NULL
TXN-10003,CUST-1164,Smart Watch V2,NORTH,RETAIL,2,738.46,0.28,0.08,11.99,2025-02-14,2025-02-16,62,Web Search,Low,WH-5,False,Rejected,NA,NULL
TXN-10004,CUST-1102,Smart Watch v2, West,Online,2,229.42,0.25,0.08,16.84,2025-01-16,2025-01-24,73,Web Search,Medium,WH-2,True,Approved,Valid Data,NA
TXN-10005,CUST-1098,Smart Watch V2,East,Retail,7,229.39,0.2,0.08,31.55,2025-09-16,2025-10-04,33,Referral,Urgent,WH-4,True,Approved,NULL,NULL
TXN-10006,CUST-1146,Wireless Head-phones,East,Retail,3,116.8,0.14,0.08,43.61,2025-04-12,2025-04-30,51,Email Campaign,Low,WH-1,True,Pending,-,NA
TXN-10007,CUST-1141,Smart-Phone X, West,Wholesale,10,1046.1,0.12,0.08,7.02,2025-08-03,2025-08-22,27,NA,Urgent,WH-4,NULL,Rejected,NULL,NULL
TXN-10008,CUST-1272,Smart Watch V2, West,RETAIL,2,741.28,0.2,0.08,40.62,2025-05-23,2025-05-24,18,Social Media,High,WH-4,NULL,Approved,NULL,NA
TXN-10009,CUST-1163,smartphone X,NORTH,Wholesale,6,864.28,0.16,0.08,28.08,2025-03-23,2025-04-03,18,Web Search,High,WH-2,NULL,,NA,NULL
TXN-10010,CUST-1395,smartphone X,East,  Online  ,5,73.67,0.02,0.08,27.56,2025-05-23,2025-06-03,27,NA,Urgent,WH-1,True,,NA,NULL
TXN-10011,CUST-1225,Wireless Head-phones,West,online,5,1165.4,0.15,0.08,25.01,2025-02-22,2025-02-26,71,NA,-,WH-1,True,,NULL,NULL
TXN-10012,CUST-1343,Smart Watch V2,West,Online,3,1007.31,0.24,0.08,7.78,2025-07-03,2025-07-23,32,Web Search,High,WH-4,False,,-,NA
TXN-10013,CUST-1060,Smart Watch V2,West,  Online  ,2,294.19,0.14,0.08,8.6,2025-05-16,2025-05-31,38,Email Campaign,High,WH-3,False,,-,NA
TXN-10014,CUST-1139,Tablet Ultra,North,online,6,259.1,0.02,0.08,29.04,2025-10-02,2025-10-15,23,Social Media,Urgent,WH-3,NULL,,NULL,Active
TXN-10015,CUST-1076,Smart-Phone X,south,Wholesale,6,260.92,0.24,0.08,18.64,2025-02-10,2025-03-02,61,Web Search,Urgent,WH-3,NULL,,NULL,NULL
TXN-10016,CUST-1080,Premium Laptop,South,Retail,8,399.88,0.06,0.08,41.69,2025-07-05,2025-07-08,41,NA,High,WH-4,True,,-,NULL
TXN-10017,CUST-1140,smartphone X,East,Online,4,653.47,0.08,0.08,21.26,2025-01-24,2025-02-03,NULL,Social Media,Medium,WH-5,True,,-,Active
TXN-10018,CUST-1058,Premium Laptop,East ,Wholesale,8,546.74,0.05,0.08,10.73,2025-02-10,2025-02-14,46,Referral,High,WH-4,True,,NULL,NA
TXN-10019,CUST-1007,smartphone X,East ,RETAIL,6,384.91,0.1,0.08,33.59,2025-07-14,2025-07-26,61,NA,Urgent,WH-3,False,,NA,NA
TXN-10020,CUST-1490,Smart Watch V2,East,Wholesale,5,753.63,0.23,0.08,16.73,2025-03-25,2025-04-01,54,Referral,Medium,WH-3,NULL,,NULL,NA
TXN-10021,CUST-1318,Premium Laptop,North,Wholesale,1,210.42,0.16,0.08,26.02,2025-12-10,2025-12-13,22,Referral,Urgent,WH-4,NULL,,NA,NULL
TXN-10022,CUST-1286,Smart-Phone X,South,online,7,385.97,0.06,0.08,32.91,2025-11-08,2025-11-26,67,Web Search,High,WH-5,True,,-,Active
TXN-10023,CUST-1263,Smart Watch v2,south,  Online  ,8,471.32,0.26,0.08,41.01,2025-05-06,2025-05-19,22,Referral,Low,WH-4,NULL,Rejected,NA,NULL
TXN-10024,CUST-1052,Wireless Headphones, West,Wholesale,9,574.48,0.26,0.08,36.69,2025-05-19,2025-06-06,26,NA,High,WH-3,True,Rejected,NA,NA
TXN-10025,CUST-1105,Smart-Phone X,East,online,9,952.95,0.26,0.08,32.05,2025-04-23,2025-04-25,43,Web Search,High,WH-3,NULL,Rejected,NULL,NA
TXN-10026,CUST-1277,Wireless Head-phones,North,Wholesale,10,279.62,0.07,0.08,32.19,2025-04-28,2025-05-09,66,Email Campaign,Low,WH-3,NULL,Rejected,NA,NULL
TXN-10027,CUST-1179,smartphone X,South,RETAIL,1,641.37,0.14,0.08,42.84,2025-07-25,2025-08-01,20,NA,-,WH-4,NULL,Approved,-,NULL
TXN-10028,CUST-1281,smartphone X,south,Online,6,731.28,0.3,0.08,16.83,2025-10-18,2025-10-29,52,Referral,Medium,WH-3,False,Approved,NULL,Active
TXN-10029,CUST-1163,Smart Watch V2,East ,Retail,8,103.42,0.23,0.08,5.04,2025-04-19,2025-05-02,35,NA,Medium,WH-1,False,Pending,NA,NULL
TXN-10030,CUST-1138,Smart Watch V2,East,Wholesale,6,748.68,0.01,0.08,15.88,2025-11-26,2025-12-05,57,NA,Medium,WH-2,True,Rejected,NA,NA
TXN-10031,CUST-1072,Tablet Ultra,East ,Online,2,246.1,0.02,0.08,13.72,2025-03-13,2025-03-31,36,Social Media,Urgent,WH-3,NULL,Approved,NULL,Active
TXN-10032,CUST-1482,Wireless Head-phones,West,Wholesale,9,124.81,0.14,0.08,31.47,2025-10-03,2025-10-22,73,NA,Urgent,WH-4,False,Approved,Valid Data,Active
TXN-10033,CUST-1360,Smart Watch V2,North,Retail,9,1141.22,0.27,0.08,30.35,2025-08-08,2025-08-21,-,Email Campaign,Medium,WH-4,False,Rejected,NA,NA
TXN-10034,CUST-1411,Smart Watch V2,South,RETAIL,9,1160.48,0.16,0.08,28.74,2025-07-05,2025-07-10,20,Email Campaign,Low,WH-3,False,Approved,NULL,NULL
TXN-10035,CUST-1145,Wireless Head-phones,West,Online,2,979.66,0.15,0.08,5.65,2025-09-18,2025-09-20,69,Referral,Low,WH-1,NULL,Pending,NULL,NULL
TXN-10036,CUST-1293,Wireless Headphones,East ,Online,8,400.31,0.03,0.08,34.15,2025-02-26,2025-03-04,-,Social Media,Urgent,WH-1,False,Pending,Valid Data,NULL
TXN-10037,CUST-1125,Premium Laptop, West,RETAIL,4,162.32,0.2,0.08,17.94,2025-12-15,2025-12-18,52,Web Search,-,WH-1,True,Pending,NA,NULL
TXN-10038,CUST-1087,Premium Laptop,NORTH,Retail,7,836.87,0.25,0.08,31.6,2025-07-17,2025-08-01,64,Social Media,Medium,WH-4,False,Approved,NA,NULL
TXN-10039,CUST-1036,Smart Watch v2,East,Wholesale,8,556.18,0.11,0.08,27.26,2025-09-28,2025-10-16,62,Referral,High,WH-5,True,Approved,-,Active
TXN-10040,CUST-1159,smartphone X,East ,RETAIL,3,190.34,0.23,0.08,18.71,2025-01-06,2025-01-10,36,Referral,Urgent,WH-4,False,Rejected,Valid Data,NULL
TXN-10041,CUST-1313,Smart Watch v2,South,  Online  ,2,619.45,0.29,0.08,10.38,2025-12-16,2025-12-25,37,Email Campaign,Medium,WH-3,NULL,Approved,-,Active
TXN-10042,CUST-1456,Smart Watch V2, West,  Online  ,10,89.55,0.06,0.08,8.78,2025-11-25,2025-12-05,39,Referral,-,WH-5,True,Rejected,NULL,NULL
TXN-10043,CUST-1173,Wireless Headphones,East ,RETAIL,9,1095.72,0.16,0.08,38.26,2025-08-11,2025-08-12,57,NA,Low,WH-4,NULL,Pending,-,NULL
TXN-10044,CUST-1276,Smart Watch v2,NORTH,RETAIL,7,347.6,0.09,0.08,41.74,2025-05-15,2025-05-21,58,Referral,Urgent,WH-5,True,Pending,-,NA
TXN-10045,CUST-1227,Smart Watch V2, West,  Online  ,7,811.9,0.24,0.08,30.99,2025-09-17,2025-09-27,23,Social Media,Urgent,WH-2,NULL,Pending,NULL,NA
TXN-10046,CUST-1025,Smart Watch V2,south,Wholesale,1,408.47,0.17,0.08,9.14,2025-11-24,2025-12-01,46,NA,Medium,WH-3,False,Approved,-,NULL
TXN-10047,CUST-1066,Premium Laptop,North,Retail,7,648.08,0.19,0.08,21.08,2025-03-20,2025-03-26,50,Email Campaign,-,WH-1,True,Pending,NA,NULL
TXN-10048,CUST-1014,Premium Laptop,South,online,NULL,678.72,0.24,0.08,34.16,2025-10-04,2025-10-21,69,NA,High,WH-3,True,Rejected,-,Active
TXN-10049,CUST-1241,Smart-Phone X,South,RETAIL,3,262.58,0.12,0.08,36.19,2025-01-01,2025-01-17,20,Web Search,-,WH-1,True,Pending,NA,NA
TXN-10050,CUST-1462,Wireless Head-phones,South,Online,4,1165.02,0.27,0.08,9.73,2025-01-10,2025-01-22,46,Social Media,Medium,WH-4,True,Approved,NULL,NA
TXN-10051,CUST-1345,Smart-Phone X,South,  Online  ,6,941.4,0.16,0.08,5,2025-06-07,2025-06-15,29,Email Campaign,-,WH-4,True,Rejected,NULL,NULL
TXN-10052,CUST-1025,Smart Watch V2, West,  Online  ,4,1130.42,0.05,0.08,33.49,2025-10-18,2025-10-21,52,Referral,High,WH-3,True,Rejected,Valid Data,NA
TXN-10053,CUST-1054,Smart Watch v2,West,Retail,10,1079.05,0.21,0.08,19.26,2025-09-06,2025-09-24,42,Social Media,Urgent,WH-3,True,Approved,NULL,NULL
TXN-10054,CUST-1196,Smart-Phone X,North,online,10,737.58,0.24,0.08,15.18,2025-03-06,2025-03-22,52,Email Campaign,Low,WH-3,True,Approved,Valid Data,NA
TXN-10055,CUST-1027,Wireless Head-phones, West,  Online  ,3,1110.16,0.1,0.08,5.52,2025-10-09,2025-10-26,60,NA,Low,WH-1,NULL,Rejected,NA,NULL
TXN-10056,CUST-1044,Smart Watch v2,NORTH,Online,3,151.77,0.26,0.08,26.61,2025-11-07,2025-11-14,57,NA,High,WH-2,NULL,Pending,-,NA
TXN-10057,CUST-1218,Smart Watch V2,South,Online,9,275.38,0.27,0.08,39.05,2025-10-04,2025-10-11,42,NA,Medium,WH-2,NULL,Approved,NA,NA
TXN-10058,CUST-1200,smartphone X,East,Retail,1,102.01,0.08,0.08,43.31,2026-01-01,2026-01-13,57,NA,Low,WH-3,False,Pending,Valid Data,NULL
TXN-10059,CUST-1091,Smart Watch V2,East ,RETAIL,9,424.13,0.3,0.08,27.63,2025-08-13,2025-08-28,58,Social Media,-,WH-3,NULL,Approved,NULL,NULL
TXN-10060,CUST-1360,Smart Watch V2, West,RETAIL,2,496.98,0.04,0.08,25.58,2025-03-03,2025-03-06,47,Email Campaign,-,WH-3,False,Rejected,NA,NA
TXN-10061,CUST-1305,Smart Watch V2,East ,RETAIL,6,362.05,0.06,0.08,8.4,2025-06-23,2025-07-11,52,Email Campaign,-,WH-1,True,Rejected,-,Active
TXN-10062,CUST-1456,Smart-Phone X,NORTH,  Online  ,4,1003.05,0.06,0.08,26.95,2025-04-28,2025-04-29,52,Social Media,Low,WH-5,False,Pending,NA,NA
TXN-10063,CUST-1303,Premium Laptop,East,RETAIL,3,460.27,0.27,0.08,20.2,2025-02-06,2025-02-08,57,NA,High,WH-5,False,Pending,NULL,NA
TXN-10064,CUST-1322,Smart Watch v2,South,  Online  ,5,373.07,0.2,0.08,29.29,2025-04-28,2025-04-30,45,Email Campaign,-,WH-5,NULL,Pending,-,NULL
TXN-10065,CUST-1428,Wireless Head-phones,south,online,4,674.1,0.05,0.08,20.55,2025-06-19,2025-06-27,63,Referral,Medium,WH-4,True,Pending,NULL,NA
TXN-10066,CUST-1353,Smart Watch V2,South,RETAIL,1,212.06,0.13,0.08,14.61,2025-05-23,2025-05-30,71,Web Search,-,WH-3,True,Rejected,NA,NA
TXN-10067,CUST-1358,Smart Watch v2,East,  Online  ,8,972.53,0.18,0.08,8.8,2025-10-04,2025-10-23,38,Referral,Medium,WH-1,True,Approved,Valid Data,NA
TXN-10068,CUST-1228,Wireless Headphones,East ,Online,7,135.73,0.03,0.08,17.6,2025-10-23,2025-11-08,30,Email Campaign,Medium,WH-2,False,Approved,-,NULL
TXN-10069,CUST-1315,Wireless Head-phones,North,RETAIL,999,1184.92,0.26,0.08,8.87,2025-07-28,2025-08-01,65,Social Media,Urgent,WH-2,False,Rejected,NULL,Active
TXN-10070,CUST-1182,Wireless Headphones,East ,Online,4,938.08,0.24,0.08,12.08,2025-12-04,2025-12-18,NULL,NA,Medium,WH-2,NULL,Rejected,Valid Data,NULL
TXN-10071,CUST-1159,Premium Laptop, West,RETAIL,8,278.52,0.15,0.08,44.49,2025-07-30,2025-08-01,18,NA,Urgent,WH-5,NULL,Rejected,NULL,NA
TXN-10072,CUST-1170,Premium Laptop,South,online,4,56.35,0.29,0.08,22.76,2025-12-11,2025-12-15,29,Web Search,Medium,WH-4,False,Pending,NA,NULL
TXN-10073,CUST-1418,Premium Laptop,South,  Online  ,7,987.78,0.13,0.08,26.27,2025-02-01,2025-02-12,68,Referral,-,WH-5,True,Rejected,NULL,NA
TXN-10074,CUST-1101,Smart-Phone X,West,RETAIL,2,862.89,0.3,0.08,39.94,2025-02-25,2025-03-04,21,Email Campaign,High,WH-4,NULL,Approved,NA,NA
TXN-10075,CUST-1365,Wireless Headphones,South,RETAIL,3,888.36,0.2,0.08,44.82,2025-10-02,2025-10-16,74,Referral,Medium,WH-1,True,Pending,Valid Data,NULL
TXN-10076,CUST-1388,Wireless Headphones,East,online,10,936.96,0.19,0.08,28.31,2025-04-04,2025-04-12,NULL,Social Media,-,WH-5,NULL,Pending,NA,NULL
TXN-10077,CUST-1343,Premium Laptop,East,Wholesale,2,135.15,0.05,0.08,37.5,2025-02-08,2025-02-26,42,NA,High,WH-2,NULL,Pending,-,NULL
TXN-10078,CUST-1414,Wireless Headphones,North,Wholesale,4,462.24,0.26,0.08,18.08,2025-02-20,2025-03-10,57,Referral,Urgent,WH-3,NULL,Approved,NULL,NULL
TXN-10079,CUST-1273,Smart Watch v2, West,Retail,8,183.25,0.13,0.08,17.23,2025-01-08,2025-01-16,47,Referral,Medium,WH-4,False,Rejected,NULL,Active
TXN-10080,CUST-1040,smartphone X,south,RETAIL,6,1042.57,0.05,0.08,21.11,2025-03-27,2025-04-12,19,NA,Low,WH-1,False,Rejected,NA,NULL
TXN-10081,CUST-1498,Smart Watch v2,South,Wholesale,6,25000,0,0.08,-850,2025-04-20,2025-04-22,28,Email Campaign,High,WH-1,NULL,Pending,-,NULL
TXN-10082,CUST-1472,Wireless Headphones,North,Retail,4,430.53,0.17,0.08,32.29,2025-03-26,2025-04-08,52,Web Search,Low,WH-4,NULL,Approved,NULL,NULL
TXN-10083,CUST-1386,Wireless Headphones,East,Wholesale,9,123.09,0.16,0.08,17.61,2025-05-16,2025-05-31,65,Referral,-,WH-1,NULL,Pending,NULL,NULL
TXN-10084,CUST-1391,Smart Watch v2,West,Retail,5,407.63,0.22,0.08,10.33,2025-05-27,2025-06-14,41,NA,Urgent,WH-2,True,Pending,NULL,NA
TXN-10085,CUST-1238,Wireless Headphones,East,Wholesale,8,423.96,0.27,0.08,30.3,2025-12-05,2025-12-10,29,NA,High,WH-4,NULL,Pending,-,NULL
TXN-10086,CUST-1290,Premium Laptop,South,Retail,NA,889.05,0.02,0.08,10.13,2025-04-08,2025-04-10,43,Referral,Medium,WH-2,True,Approved,NULL,NULL
TXN-10087,CUST-1067,Tablet Ultra,NORTH,online,7,25000,0.22,0.08,-850,2025-10-24,2025-10-26,43,Referral,Urgent,WH-1,False,Rejected,-,NA
TXN-10088,CUST-1047,Tablet Ultra,North,Wholesale,2,1070.29,0.06,0.08,32.74,2025-06-10,2025-06-29,40,Web Search,Urgent,WH-5,True,Rejected,NA,NULL
TXN-10089,CUST-1416,Tablet Ultra,South,  Online  ,5,593.05,0.26,0.08,33.02,2025-09-02,2025-09-19,57,NA,Urgent,WH-3,False,Rejected,NULL,Active
TXN-10090,CUST-1410,Wireless Head-phones,South,Online,7,187.53,0.25,0.08,35.14,2025-03-22,2025-04-08,58,Web Search,Urgent,WH-3,NULL,Rejected,NULL,NULL
TXN-10091,CUST-1470,smartphone X,NORTH,  Online  ,5,870.23,0.16,0.08,39.91,2025-02-11,2025-02-14,26,NA,Low,WH-2,NULL,Approved,Valid Data,NA
TXN-10092,CUST-1357,smartphone X,south,Retail,2,924.9,0.21,0.08,25,2025-11-01,2025-11-09,65,NA,Medium,WH-2,False,Approved,-,NA
TXN-10093,CUST-1239,Wireless Head-phones,East,online,7,695.47,0.09,0.08,34.21,2025-07-26,2025-08-14,35,Referral,Urgent,WH-5,NULL,Pending,Valid Data,NULL
TXN-10094,CUST-1049,smartphone X,East ,  Online  ,1,936.61,0.14,0.08,29.77,2025-05-07,2025-05-09,71,Email Campaign,Medium,WH-4,False,Approved,NULL,NA
TXN-10095,CUST-1233,Wireless Headphones,North,online,5,617.86,0.25,0.08,12.47,2025-11-14,2025-12-03,73,Referral,-,WH-1,False,Pending,-,NULL
