transaction_i_d,customer_i_d,product_segment,region_assignment,sales_channel,units_demanded,unit_price_u_s_d,discount_decimal,tax_rate,shipping_fee,order_open_date,order_close_date,customer_age,lead_source,priority_status,warehouse_code,return_requested,manager_review
TXN-10000,CUST-1327,Wireless Headphones,East,Retail,1.0,480.72,0.14,0.08,30.26,2025-11-24,2025-12-03,58,Referral,Medium,WH-1,True,Pending
TXN-10001,CUST-1456,Smart Watch V2,South,Online,5.0,1143.32,0.15,0.08,22.06,2025-05-06,2025-05-10,61,Referral,High,WH-5,True,Approved
TXN-10002,CUST-1107,Wireless Headphones,North,Online,8.0,891.79,0.05,0.08,26.93,2025-12-13,2025-12-31,25,Referral,High,WH-1,True,Pending
TXN-10003,CUST-1164,Smart Watch V2,North,Retail,2.0,738.46,0.28,0.08,11.99,2025-02-14,2025-02-16,62,Web Search,Low,WH-5,False,Rejected
TXN-10004,CUST-1102,Smart Watch V2,West,Online,2.0,229.42,0.25,0.08,16.84,2025-01-16,2025-01-24,73,Web Search,Medium,WH-2,True,Approved
TXN-10005,CUST-1098,Smart Watch V2,East,Retail,7.0,229.39,0.2,0.08,31.55,2025-09-16,2025-10-04,33,Referral,Urgent,WH-4,True,Approved
TXN-10006,CUST-1146,Wireless Headphones,East,Retail,3.0,116.8,0.14,0.08,43.61,2025-04-12,2025-04-30,51,Email Campaign,Low,WH-1,True,Pending
TXN-10007,CUST-1141,Smartphone X,West,Wholesale,10.0,1046.1,0.12,0.08,7.02,2025-08-03,2025-08-22,27,Web Search,Urgent,WH-4,True,Rejected
TXN-10008,CUST-1272,Smart Watch V2,West,Retail,2.0,741.28,0.2,0.08,40.62,2025-05-23,2025-05-24,18,Social Media,High,WH-4,True,Approved
TXN-10009,CUST-1163,Smartphone X,North,Wholesale,6.0,864.28,0.16,0.08,28.08,2025-03-23,2025-04-03,18,Web Search,High,WH-2,True,Pending
TXN-10010,CUST-1395,Smartphone X,East,Online,5.0,73.67,0.02,0.08,27.56,2025-05-23,2025-06-03,27,Web Search,Urgent,WH-1,True,Pending
TXN-10011,CUST-1225,Wireless Headphones,West,Online,5.0,1165.4,0.15,0.08,25.01,2025-02-22,2025-02-26,71,Web Search,Medium,WH-1,True,Pending
TXN-10012,CUST-1343,Smart Watch V2,West,Online,3.0,1007.31,0.24,0.08,7.78,2025-07-03,2025-07-23,32,Web Search,High,WH-4,False,Pending
TXN-10013,CUST-1060,Smart Watch V2,West,Online,2.0,294.19,0.14,0.08,8.6,2025-05-16,2025-05-31,38,Email Campaign,High,WH-3,False,Pending
TXN-10014,CUST-1139,Tablet Ultra,North,Online,6.0,259.1,0.02,0.08,29.04,2025-10-02,2025-10-15,23,Social Media,Urgent,WH-3,True,Pending
TXN-10015,CUST-1076,Smartphone X,South,Wholesale,6.0,260.92,0.24,0.08,18.64,2025-02-10,2025-03-02,61,Web Search,Urgent,WH-3,True,Pending
TXN-10016,CUST-1080,Premium Laptop,South,Retail,8.0,399.88,0.06,0.08,41.69,2025-07-05,2025-07-08,41,Web Search,High,WH-4,True,Pending
TXN-10017,CUST-1140,Smartphone X,East,Online,4.0,653.47,0.08,0.08,21.26,2025-01-24,2025-02-03,28,Social Media,Medium,WH-5,True,Pending
TXN-10018,CUST-1058,Premium Laptop,East,Wholesale,8.0,546.74,0.05,0.08,10.73,2025-02-10,2025-02-14,46,Referral,High,WH-4,True,Pending
TXN-10019,CUST-1007,Smartphone X,East,Retail,6.0,384.91,0.1,0.08,33.59,2025-07-14,2025-07-26,61,Web Search,Urgent,WH-3,False,Pending
TXN-10020,CUST-1490,Smart Watch V2,East,Wholesale,5.0,753.63,0.23,0.08,16.73,2025-03-25,2025-04-01,54,Referral,Medium,WH-3,True,Pending
TXN-10021,CUST-1318,Premium Laptop,North,Wholesale,1.0,210.42,0.16,0.08,26.02,2025-12-10,2025-12-13,22,Referral,Urgent,WH-4,True,Pending
TXN-10022,CUST-1286,Smartphone X,South,Online,7.0,385.97,0.06,0.08,32.91,2025-11-08,2025-11-26,67,Web Search,High,WH-5,True,Pending
